frequency_hz,iteration,band_iteration,beta,band_target_beta,physical_loss,normalized_loss,data_loss,max_velocity_update
20000.0,0,0,0.05000000074505806,0.9998945593833923,6.815913366153836e-06,90.2490005493164,6.815913366153836e-06,0.05000000074505806
20000.0,1,1,0.10000000149011612,0.9998945593833923,6.117253178672399e-06,80.99809265136719,6.117253178672399e-06,0.05000000074505806
20000.0,2,2,0.15000000596046448,0.9998945593833923,5.456362487166189e-06,72.2472915649414,5.456362487166189e-06,0.05000000074505806
20000.0,3,3,0.20000000298023224,0.9998945593833923,4.8332440201193094e-06,63.99662399291992,4.8332440201193094e-06,0.05000000074505806
20000.0,4,4,0.25,0.9998945593833923,4.247893684805604e-06,56.24604034423828,4.247893684805604e-06,0.05000000074505806
20000.0,5,5,0.30000001192092896,0.9998945593833923,3.700310799104045e-06,48.995540618896484,3.700310799104045e-06,0.05000000074505806
20000.0,6,6,0.3500000238418579,0.9998945593833923,3.1904999104881426e-06,42.24517059326172,3.1904999104881426e-06,0.05000000074505806
20000.0,7,7,0.40000003576278687,0.9998945593833923,2.7184607915842207e-06,35.994937896728516,2.7184607915842207e-06,0.05000000074505806
20000.0,8,8,0.4500000476837158,0.9998945593833923,2.284187075929367e-06,30.244749069213867,2.284187075929367e-06,0.05000000074505806
20000.0,9,9,0.5000000596046448,0.9998945593833923,1.887668759081862e-06,24.994482040405273,1.887668759081862e-06,0.05000000074505806
20000.0,10,10,0.5500000715255737,0.9998945593833923,1.5289531347661978e-06,20.244754791259766,1.5289531347661978e-06,0.05000000074505806
20000.0,11,11,0.6000000834465027,0.9998945593833923,1.207992227136856e-06,15.994935035705566,1.207992227136856e-06,0.05000000074505806
20000.0,12,12,0.6500000953674316,0.9998945593833923,9.24798086998635e-07,12.245182991027832,9.24798086998635e-07,0.05000000074505806
20000.0,13,13,0.7000001072883606,0.9998945593833923,6.793741249566665e-07,8.9955415725708,6.793741249566665e-07,0.05000000074505806
20000.0,14,14,0.7500001192092896,0.9998945593833923,4.7171815253932436e-07,6.24598503112793,4.7171815253932436e-07,0.05000000074505806
35000.0,15,0,0.8000001311302185,0.9998563528060913,1.5926947583011497e-07,63.98255920410156,1.5926947583011497e-07,0.05000000074505806
35000.0,16,1,0.8500001430511475,0.9998563528060913,8.95457503702346e-08,35.972782135009766,8.95457503702346e-08,0.05000000074505806
35000.0,17,2,0.9000001549720764,0.9998563528060913,3.975964091296191e-08,15.97244930267334,3.975964091296191e-08,0.05000000074505806
35000.0,18,3,0.9500001668930054,0.9998563528060913,9.911398812789685e-09,3.981658458709717,9.911398812789685e-09,0.05000000074505806
35000.0,19,4,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.04985618591308594
35000.0,20,5,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,21,6,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,22,7,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,23,8,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,24,9,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,25,10,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,26,11,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,27,12,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,28,13,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
35000.0,29,14,0.9998563528060913,0.9998563528060913,8.130383979997394e-14,3.266179919592105e-05,8.130383979997394e-14,0.0
50000.0,30,0,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,2.9206275939941406e-06
50000.0,31,1,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,32,2,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,33,3,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,34,4,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,35,5,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,36,6,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,37,7,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,38,8,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,39,9,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,40,10,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,41,11,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,42,12,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,43,13,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
50000.0,44,14,0.9998534321784973,0.9998534321784973,1.1064157131712021e-13,99.99224090576172,1.1064157131712021e-13,0.0
65000.0,45,0,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,1.1146068572998047e-05
65000.0,46,1,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,47,2,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,48,3,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,49,4,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,50,5,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,51,6,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,52,7,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,53,8,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,54,9,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,55,10,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,56,11,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,57,12,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,58,13,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
65000.0,59,14,0.9998422861099243,0.9998422861099243,1.203888876609438e-13,99.0564956665039,1.203888876609438e-13,0.0
